"Source:","C:\Program Files\KiCad\share\kicad\Brewnode\Brewnode_PCB\Brewnode_PCB.sch"
"Date:","2020-09-16 23:47:58"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","79"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","Mfc"
"","","Q2","FDN340P","Transistor_FET:FDN340P","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/FDN340P-D.PDF","C75469","FDN340P"
"","","Q3","FDN340P","Transistor_FET:FDN340P","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/FDN340P-D.PDF","C75469","FDN340P"
"","","Q4","FDN340P","Transistor_FET:FDN340P","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/FDN340P-D.PDF","C75469","FDN340P"
"","","Q5","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","C52895","BSS138"
"","","Q6","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","C52895","BSS138"
"","","Q7","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","C52895","BSS138"
"","","Q8","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","C52895","BSS138"
"","","R1","220Ohm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810241809_UNI-ROYAL-Uniroyal-Elec-0805W8F2200T5E_C17557.pdf","C17557","0805W8F2200T5E"
"","","R2","100Ohm","Device:R","","https://datasheet.lcsc.com/szlcsc/1809062111_UNI-ROYAL-Uniroyal-Elec-0805W8F1000T5E_C17408.pdf","C17408","0805W8F1000T5E"
"","","R3","10kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810271610_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","C17414","0805W8F1002T5E"
"","","R4","10kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810271610_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","C17414","0805W8F1002T5E"
"","","R5","10kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810271610_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","C17414","0805W8F1002T5E"
"","","R6","10kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810271610_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","C17414","0805W8F1002T5E"
"","","R7","8.2kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1912111437_UNI-ROYAL-Uniroyal-Elec-0805W8D8201T5E_C407435.pdf","C407435","0805W8D8201T5E"
"","","R8","8.2kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1912111437_UNI-ROYAL-Uniroyal-Elec-0805W8D8201T5E_C407435.pdf","C407435","0805W8D8201T5E"
"","","R9","8.2kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1912111437_UNI-ROYAL-Uniroyal-Elec-0805W8D8201T5E_C407435.pdf","C407435","0805W8D8201T5E"
"","","R10","8.2kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1912111437_UNI-ROYAL-Uniroyal-Elec-0805W8D8201T5E_C407435.pdf","C407435","0805W8D8201T5E"
"","","R11","8.2kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1912111437_UNI-ROYAL-Uniroyal-Elec-0805W8D8201T5E_C407435.pdf","C407435","0805W8D8201T5E"
"","","R12","8.2kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1912111437_UNI-ROYAL-Uniroyal-Elec-0805W8D8201T5E_C407435.pdf","C407435","0805W8D8201T5E"
"","","R13","8.2kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1912111437_UNI-ROYAL-Uniroyal-Elec-0805W8D8201T5E_C407435.pdf","C407435","0805W8D8201T5E"
"","","R14","8.2kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1912111437_UNI-ROYAL-Uniroyal-Elec-0805W8D8201T5E_C407435.pdf","C407435","0805W8D8201T5E"
"","","R15","10kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810271610_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","C17414","0805W8F1000T5E"
"","","R16","10kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810271610_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","C17414","0805W8F1000T5E"
"","","R17","10kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810271610_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","C17414","0805W8F1000T5E"
"","","R18","10kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810271610_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","C17414","0805W8F1000T5E"
"","","R19","10kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810271610_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","C17414","0805W8F1000T5E"
"","","R20","10kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810271610_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","C17414","0805W8F1000T5E"
"","","R21","10kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810271610_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","C17414","0805W8F1000T5E"
"","","R22","10kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1810271610_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414.pdf","C17414","0805W8F1000T5E"
"","","R23","4.7kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1808281533_UNI-ROYAL-Uniroyal-Elec-0805W8F4701T5E_C17673.pdf","C17673","0805W8F4701T5E"
"","","R24","4.7kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1808281533_UNI-ROYAL-Uniroyal-Elec-0805W8F4701T5E_C17673.pdf","C17673","0805W8F4701T5E"
"","","R25","4.7kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1808281533_UNI-ROYAL-Uniroyal-Elec-0805W8F4701T5E_C17673.pdf","C17673","0805W8F4701T5E"
"","","R26","4.7kOhm","Device:R","","https://datasheet.lcsc.com/szlcsc/1808281533_UNI-ROYAL-Uniroyal-Elec-0805W8F4701T5E_C17673.pdf","C17673","0805W8F4701T5E"
"","","U1","PCF8574","Interface_Expansion:PCF8574","","https://datasheet.lcsc.com/szlcsc/1809261711_NXP-Semicon-PCF8574T-3-518_C7605.pdf","C7605","PCF8574T/3,518"
"","","U2","ADS1115IDGS","Analog_ADC:ADS1115IDGS","Package_SO:TSSOP-10_3x3mm_P0.5mm","https://datasheet.lcsc.com/szlcsc/1809192322_Texas-Instruments-ADS1115IDGSR_C37593.pdf","C37593","ADS1115IDGSR"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","Mfc"
"1","2","C1, C4","100nF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://datasheet.lcsc.com/szlcsc/1810191219_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","C1525","CL05B104KO5NNNC"
"2","1","C2","47uF","Device:CP","Capacitor_SMD:CP_Elec_6.3x5.3","https://datasheet.lcsc.com/szlcsc/1912111437_Lelon-VEZ470M1CTR-0605_C249778.pdf","C249778","	VEZ470M1CTR-0605"
"3","1","C3","220uF","Device:CP","","https://datasheet.lcsc.com/szlcsc/1912111437_Lelon-VUA221M1ATR-0810_C249801.pdf","C249801","VUA221M1ATR-0810"
"4","2","C5, C6","47uF","Device:CP","","https://datasheet.lcsc.com/szlcsc/1912111437_Lelon-VEZ470M1CTR-0605_C249778.pdf","C249778","	VEZ470M1CTR-0605"
"5","2","D1, D2","LED_1206","Device:LED","","https://datasheet.lcsc.com/szlcsc/1810231512_Lite-On-LTST-C150KGKT_C125085.pdf","C125085","LTST-C150KGKT"
"6","4","D3, D4, D5, D6","SMA","Device:D","","https://datasheet.lcsc.com/szlcsc/1810311713_MDD-Microdiode-Electronics-M7_C95872.pdf","C95872","M7"
"7","2","F1, F2","500mA","Device:Polyfuse_Small","","https://datasheet.lcsc.com/szlcsc/1808141123_Littelfuse-0435-500KRHF_C206945.pdf","C206945","0435.500KRHF"
"8","16","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16","Screw_Terminal_01x03","Connector:Screw_Terminal_01x03","","https://datasheet.lcsc.com/szlcsc/1912251632_Ningbo-Kangnex-Elec-WJ2EDGRC-5-08-3P_C8377.pdf","C8377","WJ2EDGRC-5.08-3P"
